CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
34662,57747,78227,32111,28853,67312,108799,28335,46762
34561,58530,77862,31745,28477,67136,111003,28391,47485
34505,58912,77811,31703,28150,66441,112008,28550,48083
34759,59163,77789,32067,28014,66023,112515,28883,48428
34736,59127,77759,32743,27949,65812,111854,29134,48239
34493,58883,80028,33824,28091,66323,111279,29236,47354
33763,58819,80742,34073,28043,67754,110759,28928,46782
33353,59050,77396,32672,27989,66238,110084,29002,47261
33584,57452,71732,30432,28456,62458,104237,29860,45788
35655,54271,65722,27663,28591,57979,95734,29641,43054
35414,49983,61204,25217,27708,53975,86949,28331,39696
33917,46525,58347,23696,25947,51471,79776,26354,36863
30981,44296,56857,22773,23990,49947,75411,24549,35091
28747,42848,56112,22373,22498,49022,72686,23438,33874
27044,42131,56837,22401,21629,49166,71962,22714,33269
25696,42253,60591,23396,21240,51119,73257,22349,33301
25010,43941,68103,26073,21203,55845,78605,22336,34628
24848,47612,73911,29552,21758,61437,86067,23058,37371
25373,50790,74930,31540,23514,63431,91121,24655,39138
27091,51812,75984,32417,26263,64334,93325,26543,39981
30244,52767,76972,32913,28888,65169,96252,27419,41499
32409,54114,77120,33127,29773,65747,99427,27591,43374
33421,55300,77024,33136,29719,66013,102093,27908,44724
34327,56260,76954,33023,29352,66242,104919,28131,45757
34993,57315,76447,32739,28911,66214,107267,28346,46684
35003,57789,75541,32353,28208,65675,109037,28410,47374
34475,58147,74877,32211,27628,65070,110357,28198,47950
34545,58499,74423,32315,27167,64588,110855,28598,48127
34492,58094,73834,32502,26878,63976,109908,28912,47518
34187,57353,75201,33142,26808,63778,108034,28818,46175
33429,57013,76434,33116,26599,65209,106736,28384,45779
33058,56919,73889,31811,26573,64201,105332,28319,46035
33513,55699,69770,29990,27149,61123,100399,29075,44771
34923,53010,64455,27643,27507,56895,93503,28798,42567
34549,49519,60013,25334,26795,53085,85552,27607,39753
